target_D,horizon,round,statistical_bound_component,historical_bound_component,path_inflation_component,current_bias_cumulative,cumulative_pseudo_regret,sharp_theorem_rhs,aggregate_sha256
0.25,1000,750,8221.5461250408425,48.136286499199265,158.74026156467292,1.4466666315232197,66.799330832303013,8429.8693397362349,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,760,8294.593322263192,48.846828609516194,160.66662007842501,1.4662330817828313,67.405563780749105,8505.5730040329126,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,770,8367.3187305932006,49.558231298022655,162.59148010628203,1.4858071014196259,68.068940148825263,8580.9542490989243,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,780,8439.5099504758182,50.26919909010892,164.50697938134167,1.5053933996309932,68.653182300860735,8655.7915223468972,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,790,8511.2216296948336,50.979988131849133,166.4096799370013,1.5249692334760314,69.190588199977526,8730.1362669971622,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,800,8582.6599142468149,51.691821895047035,168.30733738422001,1.5445503012626647,69.755198227381811,8804.2036238273467,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,810,8653.8402070055345,52.404727625135457,170.20108570163299,1.5641407446873332,70.343616414452924,8878.0101610769907,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,820,8724.7118770178095,53.118384254147969,172.09267351955964,1.583732979388137,70.954457647187823,8951.5066677709019,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,830,8795.2200741673769,53.832384453554226,173.97913872451582,1.6033256794718931,71.544176161582484,9024.6349230249234,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,840,8865.5452726774347,54.547843904881304,175.86439702019626,1.6229191963270377,72.134025098606557,9097.5804327988353,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,850,8935.5353724166071,55.263738671738864,177.74555556279259,1.6425062760800433,72.746184099873872,9170.1871729272207,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,860,9005.087405360664,55.979414691601598,179.61872797779469,1.6620960750102662,73.302354886426031,9242.3476441050698,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,870,9074.1874582335386,56.694753578583146,181.48350316669746,1.6816991678892126,73.845366984076222,9314.0474141467112,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,880,9143.0504713426108,57.4110374713959,183.34846089007053,1.701311650891814,74.388117184408287,9385.5112813549695,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,890,9211.8981743249551,58.129668389201036,185.2145733250774,1.7209318967285261,74.983393888354726,9456.9633479359709,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,900,9280.2152433966694,58.847363098257702,187.06618497138609,1.7405657205645197,75.535926902620631,9527.8693571868753,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,910,9348.0426799839952,59.564315290266713,188.91117306587628,1.7601973119117562,76.031338272706947,9598.2783656520533,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,920,9415.8327457225969,60.28339816940337,190.75672621071863,1.7798285197078416,76.579211101065724,9668.6526986224253,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,930,9483.5062868049608,61.004056664694616,192.60053531387319,1.7994492845440988,77.178163895373856,9738.910328068072,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,940,9550.63774564503,61.723529684318926,194.43407765691532,1.8190687314969956,77.722417524119976,9808.6144217177625,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,950,9617.7257959292019,62.445023013926509,196.27009808325067,1.8386933157912848,78.323759163318144,9878.2796103421661,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,960,9684.4663849972785,63.166507077214085,198.0982696650733,1.8583112185687105,78.8878305228572,9947.5894729581378,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,970,9750.7961664935265,63.887536963522471,199.92126453724137,1.8779137778634003,79.402501655358094,10016.48288177215,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,980,9816.7994878519858,64.608618299740371,201.7425559188006,1.8975120257825191,79.926334791506122,10085.048174096308,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,990,9882.6507477376035,65.330887917235813,203.56691267905649,1.9171075307833854,80.482694356781195,10153.465655864678,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,1000,9948.3913612065717,66.054595194278377,205.38908832279935,1.9367067527638477,81.049560861553445,10221.771751476412,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
