task,method,prefix,seed_count,metric,mean,standard_error,median,q10,q25,q75,q90,iqr
covtype_label_bandit,transport_endpoint_corrected_cholesky,32,1,data_loading_seconds,0.015451621962711215,0.0,0.015451621962711215,0.015451621962711215,0.015451621962711215,0.015451621962711215,0.015451621962711215,0.0
covtype_label_bandit,transport_endpoint_corrected_cholesky,32,1,diagnostic_seconds,0.48163803783245385,0.0,0.48163803783245385,0.48163803783245385,0.48163803783245385,0.48163803783245385,0.48163803783245385,0.0
covtype_label_bandit,transport_endpoint_corrected_cholesky,32,1,end_to_end_round_seconds,2.5630315561429597,0.0,2.5630315561429597,2.5630315561429597,2.5630315561429597,2.5630315561429597,2.5630315561429597,0.0
covtype_label_bandit,transport_endpoint_corrected_cholesky,32,1,fraction_bonus_below_gap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
covtype_label_bandit,transport_endpoint_corrected_cholesky,32,1,fraction_bonus_exceeds_range,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
covtype_label_bandit,transport_endpoint_corrected_cholesky,32,1,historical_misspecification_envelope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
covtype_label_bandit,transport_endpoint_corrected_cholesky,32,1,kappa_minus,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
covtype_label_bandit,transport_endpoint_corrected_cholesky,32,1,logical_operator_bytes,276768.0,0.0,276768.0,276768.0,276768.0,276768.0,276768.0,0.0
covtype_label_bandit,transport_endpoint_corrected_cholesky,32,1,operator_construction_seconds,0.48983839916763827,0.0,0.48983839916763827,0.48983839916763827,0.48983839916763827,0.48983839916763827,0.48983839916763827,0.0
covtype_label_bandit,transport_endpoint_corrected_cholesky,32,1,peak_rss_bytes,478961664.0,0.0,478961664.0,478961664.0,478961664.0,478961664.0,478961664.0,0.0
covtype_label_bandit,transport_endpoint_corrected_cholesky,32,1,preprocessing_seconds,0.03642051498172805,0.0,0.03642051498172805,0.03642051498172805,0.03642051498172805,0.03642051498172805,0.03642051498172805,0.0
covtype_label_bandit,transport_endpoint_corrected_cholesky,32,1,representation_update_seconds,0.21549325936939567,0.0,0.21549325936939567,0.21549325936939567,0.21549325936939567,0.21549325936939567,0.21549325936939567,0.0
covtype_label_bandit,transport_endpoint_corrected_cholesky,32,1,solver_alpha,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
covtype_label_bandit,transport_endpoint_corrected_cholesky,32,1,solver_seconds,0.48448514693882316,0.0,0.48448514693882316,0.48448514693882316,0.48448514693882316,0.48448514693882316,0.48448514693882316,0.0
covtype_label_bandit,transport_endpoint_corrected_cholesky,32,1,teacher_environment_seconds,0.008029669988900423,0.0,0.008029669988900423,0.008029669988900423,0.008029669988900423,0.008029669988900423,0.008029669988900423,0.0
covtype_label_bandit,transport_endpoint_corrected_cholesky,32,1,transport_certificate_seconds,0.3084854292101227,0.0,0.3084854292101227,0.3084854292101227,0.3084854292101227,0.3084854292101227,0.3084854292101227,0.0
